player,team,player_id,Total_Tiros,Partidos_Jugados,Pases_Completados,Recuperaciones,Faltas_Recibidas,Tiros_por_Partido,Pases_por_Partido,Recuperaciones_por_Partido,Faltas_por_Partido,Participacion_Total,Participacion_Por_Partido,Indice_Peligro,Indice_Defensivo
José Martín Cáceres Silva,Uruguay,5248.0,0,1,68,3,0,0.0,68.0,3.0,0.0,71,71.0,0,9
Jorge Resurrección Merodio,Spain,5199.0,0,2,56,0,0,0.0,28.0,0.0,0.0,56,28.0,0,5
Joseff Morrell,Wales,22074.0,0,2,12,5,1,0.0,6.0,2.5,0.5,18,9.0,0,6
Jordan Morris,United States,23789.0,0,2,2,1,0,0.0,1.0,0.5,0.0,3,1.5,0,1
Jordan Pickford,England,3468.0,0,5,126,16,0,0.0,25.2,3.2,0.0,142,28.4,0,28
Jordan Veretout,France,7153.0,0,1,32,2,0,0.0,32.0,2.0,0.0,34,34.0,0,5
Guido Rodríguez,Argentina,26404.0,0,1,54,1,0,0.0,54.0,1.0,0.0,55,55.0,0,6
Guillermo Varela Olivera,Uruguay,5264.0,0,3,62,2,7,0.0,20.67,0.67,2.33,71,23.67,3,8
Haitham Mohammed Asiri,Saudi Arabia,121539.0,0,1,1,0,0,0.0,1.0,0.0,0.0,1,1.0,0,0
Hannibal Mejbri,Tunisia,50988.0,0,1,2,0,0,0.0,2.0,0.0,0.0,2,2.0,0,0
Jeremy Doku,Belgium,23650.0,0,1,8,3,1,0.0,8.0,3.0,1.0,12,12.0,0,3
Jerome Ngom Mbekeli,Cameroon,33813.0,0,1,1,0,0,0.0,1.0,0.0,0.0,1,1.0,0,0
Jesus Ferreira,United States,22433.0,0,1,17,2,1,0.0,17.0,2.0,1.0,20,20.0,0,3
Jhegson Sebastián Méndez Carabalí,Ecuador,23830.0,0,2,130,13,2,0.0,65.0,6.5,1.0,145,72.5,1,26
Aymen Dahmen,Tunisia,105943.0,0,3,48,7,0,0.0,16.0,2.33,0.0,55,18.33,0,11
Bailey Wright,Australia,22371.0,0,1,1,0,0,0.0,1.0,0.0,0.0,1,1.0,0,0
Artur Jędrzejczyk,Poland,4685.0,0,1,4,0,0,0.0,4.0,0.0,0.0,4,4.0,0,0
Saad Abdullah Al Sheeb,Qatar,124496.0,0,1,17,4,1,0.0,17.0,4.0,1.0,22,22.0,0,5
Sadegh Moharrami,Iran,23538.0,0,1,19,4,0,0.0,19.0,4.0,0.0,23,23.0,0,5
Thiago Ezequiel Almada,Argentina,28637.0,0,1,12,1,0,0.0,12.0,1.0,0.0,13,13.0,0,2
Thibaut Courtois,Belgium,3509.0,0,3,109,12,0,0.0,36.33,4.0,0.0,121,40.33,0,22
Thilo Kehrer,Germany,8511.0,0,1,21,3,0,0.0,21.0,3.0,0.0,24,24.0,0,5
Thomas Delaney,Denmark,5527.0,0,1,26,3,0,0.0,26.0,3.0,0.0,29,29.0,0,5
Takefusa Kubo,Japan,31090.0,0,2,7,5,2,0.0,3.5,2.5,1.0,14,7.0,1,5
Takehiro Tomiyasu,Japan,23730.0,0,3,73,5,0,0.0,24.33,1.67,0.0,78,26.0,0,12
Tarek Salman Salman,Qatar,124504.0,0,1,7,0,0,0.0,7.0,0.0,0.0,7,7.0,0,0
Srđan Babić,Serbia,18737.0,0,1,11,0,0,0.0,11.0,0.0,0.0,11,11.0,0,1
Stefan Mitrović,Serbia,10477.0,0,1,17,0,0,0.0,17.0,0.0,0.0,17,17.0,0,1
Steve Mandanda,France,3543.0,0,1,18,7,0,0.0,18.0,7.0,0.0,25,25.0,0,8
Steven de Sousa Vitoria,Canada,11846.0,0,3,160,11,6,0.0,53.33,3.67,2.0,177,59.0,3,27
Shaquell Moore,United States,6806.0,0,2,14,1,0,0.0,7.0,0.5,0.0,15,7.5,0,2
Thorgan Hazard,Belgium,5632.0,0,2,41,4,2,0.0,20.5,2.0,1.0,47,23.5,1,8
Timothy Castagne,Belgium,6989.0,0,3,176,7,1,0.0,58.67,2.33,0.33,184,61.33,0,24
Toby Alderweireld,Belgium,20005.0,0,3,244,8,0,0.0,81.33,2.67,0.0,252,84.0,0,32
Antonee Robinson,United States,4614.0,0,4,175,31,1,0.0,43.75,7.75,0.25,207,51.75,0,48
António João Pereira Albuquerque Tavares Silva,Portugal,143854.0,0,1,57,2,0,0.0,57.0,2.0,0.0,59,59.0,0,7
Abdullah Mohammed Madu,Saudi Arabia,51103.0,0,1,4,2,0,0.0,4.0,2.0,0.0,6,6.0,0,2
Weverton Pereira da Silva,Brazil,25101.0,0,1,4,0,0,0.0,4.0,0.0,0.0,4,4.0,0,0
Abolfazl Jalali,Iran,326758.0,0,1,21,6,4,0.0,21.0,6.0,4.0,31,31.0,2,8
Wayne Hennessey,Wales,3488.0,0,2,52,12,0,0.0,26.0,6.0,0.0,64,32.0,0,17
