tiros_totales,xg_total,goles,pases_totales,pases_completos,pct_pases,intercepciones,faltas
0.0,0.0,0.0,228.0,189.0,82.89473684210526,0.0,1.0
0.0,0.0,0.0,117.0,90.0,76.92307692307693,0.0,0.0
0.0,0.0,0.0,103.0,91.0,88.3495145631068,2.0,2.0
0.0,0.0,0.0,108.0,90.0,83.33333333333334,0.0,0.0
0.0,0.0,0.0,56.0,50.0,89.28571428571429,2.0,2.0
0.0,0.0,0.0,62.0,54.0,87.09677419354838,0.0,0.0
0.0,0.0,0.0,91.0,62.0,68.13186813186813,1.0,3.0
0.0,0.0,0.0,77.0,44.0,57.14285714285714,0.0,0.0
0.0,0.0,0.0,63.0,58.0,92.06349206349206,0.0,3.0
0.0,0.0,0.0,103.0,77.0,74.75728155339806,2.0,5.0
0.0,0.0,0.0,182.0,111.0,60.98901098901099,0.0,0.0
0.0,0.0,0.0,75.0,63.0,84.0,2.0,5.0
0.0,0.0,0.0,102.0,96.0,94.11764705882352,0.0,0.0
0.0,0.0,0.0,141.0,130.0,92.19858156028369,1.0,4.0
0.0,0.0,0.0,162.0,147.0,90.74074074074075,3.0,3.0
0.0,0.0,0.0,161.0,126.0,78.26086956521739,0.0,0.0
0.0,0.0,0.0,63.0,56.0,88.88888888888889,2.0,0.0
0.0,0.0,0.0,66.0,62.0,93.93939393939394,0.0,0.0
0.0,0.0,0.0,81.0,68.0,83.9506172839506,2.0,1.0
